sigla,razao_social,nome_fantasia,cnpj,tipo_parceria,porte,segmento,fl_entrega_agendada,dt_inicio_contrato,dt_cancelamento,ativo,otif_contratual,perfil
MFM,Marea Fashion BRASIL LTDA,Marea Fashion,43278540000144,CLIENTE,GRANDE,MODA_ACESSORIOS,True,2020-10-04,2025-07-28,False,0.98,REGULAR
LCL,LumiDerma Cosmetics BRASIL LTDA,LumiDerma Cosmetics,38071872000113,CLIENTE,PEQUENA,COSMETICOS_DERMATOLOGICOS,True,2019-10-27,2023-10-18,False,0.90,REGULAR
DHD,Derma Health S.A.,Derma Health,25483230000180,CLIENTE,MEDIA,COSMETICOS_DERMATOLOGICOS,True,2019-02-16,2021-08-21,False,0.90,REGULAR
AST,Atlas Supplements LTDA,Atlas Supplements,18356658000104,CLIENTE,PEQUENA,SUPLEMENTOS_ALIMENTARES,True,2019-07-03,2025-05-21,False,0.90,REGULAR
CHC,Cutis Health S.A.,Cutis Health,40879857000148,CLIENTE,MEDIA,COSMETICOS_DERMATOLOGICOS,False,2021-01-28,2022-01-04,False,0.90,REGULAR
ANG,AgroVet Nutrition INDÚSTRIA E COMÉRCIO LTDA,AgroVet Nutrition,40546161000108,CLIENTE,MEDIA,SAUDE_ANIMAL,False,2024-05-11,,True,0.90,REGULAR
LJL,Lúmina Joias S.A.,Lúmina Joias,55883528000148,CLIENTE,GRANDE,JOALHERIA,True,2019-10-02,2025-05-11,False,0.98,REGULAR
GEG,Glow Estética BRASIL LTDA,Glow Estética,33200886000176,CLIENTE,GRANDE,ESTETICA_BELEZA,True,2022-09-13,,True,0.95,REGULAR
OLR,Oral Lab INDÚSTRIA E COMÉRCIO LTDA,Oral Lab,57580933000112,CLIENTE,PEQUENA,ODONTOLOGICO,True,2022-01-11,2023-06-03,False,0.90,REGULAR
LDL,LumiDerma Derm LTDA,LumiDerma Derm,19542327000113,CLIENTE,PEQUENA,COSMETICOS_DERMATOLOGICOS,True,2017-10-03,2022-10-04,False,0.90,REGULAR
MLM,MundoVet Life COMÉRCIO E DISTRIBUIÇÃO LTDA,MundoVet Life,46326406000160,CLIENTE,GRANDE,SAUDE_ANIMAL,True,2025-04-11,,True,0.95,REGULAR
MCM,Maison Cosmetics INDÚSTRIA E COMÉRCIO LTDA,Maison Cosmetics,20091755000156,CLIENTE,MEDIA,ESTETICA_BELEZA,False,2018-05-16,2025-10-12,False,0.90,REGULAR
CGD,Cutis Group Derm LTDA,Cutis Group Derm,62591820000152,CLIENTE,GRANDE,COSMETICOS_DERMATOLOGICOS,True,2023-11-03,,True,0.95,REGULAR
CBC,ClariSkin Brasil INDÚSTRIA E COMÉRCIO LTDA,ClariSkin Brasil,43497831000123,CLIENTE,MEDIA,COSMETICOS_DERMATOLOGICOS,False,2019-02-04,2022-04-14,False,0.90,REGULAR
BFB,BelaMesa Foods S.A.,BelaMesa Foods,77690793000142,CLIENTE,GRANDE,ALIMENTICIO,True,2017-11-07,2025-07-17,False,0.98,REGULAR
VPV,Vet Prime BRASIL LTDA,Vet Prime,68362665000189,CLIENTE,GRANDE,SAUDE_ANIMAL,False,2018-12-03,2024-08-03,False,0.95,REGULAR
FGV,Fauna Group Vitta S.A.,Fauna Group Vitta,33591078000187,CLIENTE,PEQUENA,SAUDE_ANIMAL,True,2024-01-04,,True,0.90,REGULAR
MEM,Magnólia Estética LTDA,Magnólia Estética,78260046000137,CLIENTE,GRANDE,ESTETICA_BELEZA,True,2019-11-15,2023-10-25,False,0.95,REGULAR
TGT,TerraDourada Gourmet INDÚSTRIA E COMÉRCIO LTDA,TerraDourada Gourmet,59055979000148,CLIENTE,PEQUENA,ALIMENTICIO,True,2020-08-26,,True,0.90,REGULAR
PHP,PrimeNutri Health INDÚSTRIA E COMÉRCIO LTDA,PrimeNutri Health,25766613000165,CLIENTE,MICRO,SUPLEMENTOS_ALIMENTARES,True,2018-03-21,2023-09-08,False,0.90,REGULAR
PBP,Petra Brasil S.A.,Petra Brasil,20949771000137,CLIENTE,PEQUENA,SAUDE_ANIMAL,True,2023-11-19,2024-06-08,False,0.90,REGULAR
MMM,Med Medical BRASIL LTDA,Med Medical,44801674000160,CLIENTE,GRANDE,SAUDE_HUMANA,True,2020-07-11,2025-01-25,False,0.98,REGULAR
ADR,Aurum Design INDÚSTRIA E COMÉRCIO LTDA,Aurum Design,52644377000187,CLIENTE,PEQUENA,JOALHERIA,False,2018-04-13,,True,0.90,REGULAR
MLR,Molar Solutions COMÉRCIO E DISTRIBUIÇÃO LTDA,Molar Solutions,54620180000133,CLIENTE,GRANDE,ODONTOLOGICO,False,2019-01-28,2025-01-26,False,0.98,REGULAR
NTR,Nutra Science LTDA,Nutra Science,32151687000152,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,False,2018-04-18,,True,0.90,REGULAR
PPP,Plena Pharma COMÉRCIO E DISTRIBUIÇÃO LTDA,Plena Pharma,72225258000105,CLIENTE,PEQUENA,SAUDE_HUMANA,True,2016-03-16,,True,0.90,REGULAR
RBT,Orbit Labs BRASIL LTDA,Orbit Labs,82282519000174,CLIENTE,MEDIA,ELETRONICOS,True,2018-11-18,,True,0.90,REGULAR
DBD,Dental Brasil S.A.,Dental Brasil,28218942000160,CLIENTE,MICRO,ODONTOLOGICO,True,2016-11-24,,True,0.90,REGULAR
ATX,Axion Tech COMÉRCIO E DISTRIBUIÇÃO LTDA,Axion Tech,41756334000177,CLIENTE,MEDIA,ELETRONICOS,True,2020-09-09,2021-10-23,False,0.90,REGULAR
TRS,Nutra Sport LTDA,Nutra Sport,66430578000196,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,False,2018-09-18,2025-11-23,False,0.90,REGULAR
WDW,Woonka Delícias S.A.,Woonka Delícias,35868903000173,CLIENTE,MEDIA,ALIMENTICIO,True,2024-06-13,,True,0.90,REGULAR
OJR,Orbe Jewels BRASIL LTDA,Orbe Jewels,84759529000183,CLIENTE,MEDIA,JOALHERIA,True,2024-06-11,2025-07-06,False,0.90,REGULAR
AHG,AgroVet Health COMÉRCIO E DISTRIBUIÇÃO LTDA,AgroVet Health,92440761000182,CLIENTE,PEQUENA,SAUDE_ANIMAL,True,2020-08-01,2023-06-28,False,0.90,REGULAR
MBT,Lumi Beauty S.A.,Lumi Beauty,22022629000175,CLIENTE,PEQUENA,ESTETICA_BELEZA,False,2020-04-25,2023-02-19,False,0.90,REGULAR
EGC,Éclat Gemas BRASIL LTDA,Éclat Gemas,84911899000194,CLIENTE,GRANDE,JOALHERIA,True,2019-10-16,,True,0.95,REGULAR
AGS,Arcus Group Solutions LTDA,Arcus Group Solutions,37875614000127,CLIENTE,PEQUENA,ODONTOLOGICO,True,2022-12-01,2023-10-06,False,0.90,REGULAR
MBR,Âmbar Group Style LTDA,Âmbar Group Style,21174538000192,CLIENTE,MEDIA,MODA_ACESSORIOS,True,2018-05-04,,True,0.90,REGULAR
VSV,VittaDerma Science S.A.,VittaDerma Science,22674940000107,CLIENTE,PEQUENA,COSMETICOS_DERMATOLOGICOS,True,2021-01-20,2022-06-24,False,0.90,REGULAR
AOR,Aurum Ouro INDÚSTRIA E COMÉRCIO LTDA,Aurum Ouro,73898226000125,CLIENTE,MEDIA,JOALHERIA,True,2019-12-13,2025-12-11,False,0.90,REGULAR
DGH,Dermo Group Health BRASIL LTDA,Dermo Group Health,55496705000133,CLIENTE,MICRO,COSMETICOS_DERMATOLOGICOS,False,2023-02-13,2024-06-16,False,0.90,REGULAR
DGP,Dente Group Prime BRASIL LTDA,Dente Group Prime,64536935000170,CLIENTE,GRANDE,ODONTOLOGICO,True,2017-02-16,2025-08-09,False,0.98,REGULAR
TTG,Vitta Group Moda INDÚSTRIA E COMÉRCIO LTDA,Vitta Group Moda,91931514000116,CLIENTE,MEDIA,MODA_ACESSORIOS,True,2020-08-10,,True,0.90,REGULAR
SOS,Safira Ouro BRASIL LTDA,Safira Ouro,66424376000131,CLIENTE,GRANDE,JOALHERIA,False,2018-03-19,2023-01-28,False,0.95,REGULAR
MPM,Molar Pro COMÉRCIO E DISTRIBUIÇÃO LTDA,Molar Pro,79929909000189,CLIENTE,MICRO,ODONTOLOGICO,True,2024-03-22,,True,0.90,REGULAR
CLC,Clin Labs BRASIL LTDA,Clin Labs,10966249000100,CLIENTE,PEQUENA,SAUDE_HUMANA,True,2019-07-18,2023-03-20,False,0.90,REGULAR
SBS,Safira Brasil S.A.,Safira Brasil,57989054000149,CLIENTE,PEQUENA,JOALHERIA,True,2020-12-11,,True,0.90,REGULAR
CTS,Cutis Solutions LTDA,Cutis Solutions,85766476000190,CLIENTE,MEGA,COSMETICOS_DERMATOLOGICOS,True,2024-11-14,2025-09-20,False,0.98,REGULAR
PNP,Patas Nutrition COMÉRCIO E DISTRIBUIÇÃO LTDA,Patas Nutrition,59080174000154,CLIENTE,GRANDE,SAUDE_ANIMAL,True,2024-05-02,,True,0.95,REGULAR
DMD,Douratta Maison INDÚSTRIA E COMÉRCIO LTDA,Douratta Maison,88782128000103,CLIENTE,PEQUENA,JOALHERIA,False,2020-05-20,,True,0.90,REGULAR
NGC,NaturaDerm Group Care BRASIL LTDA,NaturaDerm Group Care,31390834000184,CLIENTE,MICRO,COSMETICOS_DERMATOLOGICOS,True,2021-08-02,2022-12-03,False,0.90,REGULAR
VLN,Valenza Collection COMÉRCIO E DISTRIBUIÇÃO LTDA,Valenza Collection,15316856000148,CLIENTE,PEQUENA,JOALHERIA,True,2020-07-28,2021-06-28,False,0.90,REGULAR
PLN,Plena Health LTDA,Plena Health,42849506000110,CLIENTE,MICRO,SAUDE_HUMANA,False,2017-01-11,,True,0.90,REGULAR
SDS,Saborê Delícias INDÚSTRIA E COMÉRCIO LTDA,Saborê Delícias,28995646000175,CLIENTE,PEQUENA,ALIMENTICIO,True,2019-09-10,,True,0.90,REGULAR
MND,MundoVet Solutions BRASIL LTDA,MundoVet Solutions,80717306000100,CLIENTE,PEQUENA,SAUDE_ANIMAL,False,2020-06-26,2025-08-03,False,0.90,REGULAR
MGC,Molar Group Concept COMÉRCIO E DISTRIBUIÇÃO LTDA,Molar Group Concept,30613936000159,CLIENTE,MEDIA,ODONTOLOGICO,False,2019-04-16,2025-05-06,False,0.90,REGULAR
ABX,Axion Brasil LTDA,Axion Brasil,72780527000197,CLIENTE,MICRO,ELETRONICOS,True,2019-11-16,2025-12-23,False,0.90,REGULAR
TGS,Trama Group Store BRASIL LTDA,Trama Group Store,66987558000110,CLIENTE,GRANDE,MODA_ACESSORIOS,False,2025-05-07,,True,0.95,REGULAR
PEP,Pixel Electronics BRASIL LTDA,Pixel Electronics,28707384000104,CLIENTE,MEDIA,ELETRONICOS,True,2018-01-09,,True,0.90,REGULAR
PLP,Pixel Labs INDÚSTRIA E COMÉRCIO LTDA,Pixel Labs,52123443000173,CLIENTE,MICRO,ELETRONICOS,False,2017-01-08,2025-05-17,False,0.90,REGULAR
PTS,Patas Labs BRASIL LTDA,Patas Labs,25600213000185,CLIENTE,MEDIA,SAUDE_ANIMAL,True,2022-12-12,,True,0.90,REGULAR
PTR,Petra Prime LTDA,Petra Prime,94533130000133,CLIENTE,GRANDE,SAUDE_ANIMAL,True,2018-09-08,2024-03-07,False,0.95,REGULAR
BRG,Âmbar Group Store BRASIL LTDA,Âmbar Group Store,72706402000117,CLIENTE,MEDIA,MODA_ACESSORIOS,True,2019-02-10,2024-04-16,False,0.90,REGULAR
VTP,Vita Prime BRASIL LTDA,Vita Prime,50780177000126,CLIENTE,MEDIA,SAUDE_HUMANA,False,2020-12-08,2022-08-06,False,0.90,REGULAR
MGL,Med Group Life LTDA,Med Group Life,19648386000170,CLIENTE,MEDIA,SAUDE_HUMANA,True,2021-04-14,2024-11-02,False,0.90,REGULAR
AIL,Alimora Indústria COMÉRCIO E DISTRIBUIÇÃO LTDA,Alimora Indústria,37900191000158,CLIENTE,MICRO,ALIMENTICIO,False,2017-12-16,,True,0.90,REGULAR
TTF,Vitta Fashion BRASIL LTDA,Vitta Fashion,34002463000104,CLIENTE,MEDIA,MODA_ACESSORIOS,True,2017-08-14,,True,0.90,REGULAR
VBV,Vitta Belle LTDA,Vitta Belle,90495038000175,CLIENTE,GRANDE,ESTETICA_BELEZA,True,2018-02-19,2025-12-19,False,0.98,REGULAR
PRS,Pura Essentials BRASIL LTDA,Pura Essentials,47506139000175,CLIENTE,PEQUENA,ESTETICA_BELEZA,True,2019-11-13,2021-03-04,False,0.90,REGULAR
BPB,BioOral Pro BRASIL LTDA,BioOral Pro,48291620000153,CLIENTE,GRANDE,ODONTOLOGICO,False,2017-12-16,,True,0.95,REGULAR
LWL,Linea Wear COMÉRCIO E DISTRIBUIÇÃO LTDA,Linea Wear,22954357000141,CLIENTE,MEDIA,MODA_ACESSORIOS,True,2018-08-01,2024-04-17,False,0.90,REGULAR
CFC,Crocant Foods S.A.,Crocant Foods,66560605000145,CLIENTE,GRANDE,ALIMENTICIO,True,2017-11-22,2025-12-03,False,0.98,REGULAR
OGC,Oral Group Concept LTDA,Oral Group Concept,91912765000153,CLIENTE,MICRO,ODONTOLOGICO,False,2018-11-22,2022-06-20,False,0.90,REGULAR
VLT,Volt Smart COMÉRCIO E DISTRIBUIÇÃO LTDA,Volt Smart,42776364000108,CLIENTE,MICRO,ELETRONICOS,True,2017-06-15,,True,0.90,REGULAR
SLS,Strong Life INDÚSTRIA E COMÉRCIO LTDA,Strong Life,96241273000105,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,False,2018-10-04,2022-06-01,False,0.90,REGULAR
MDP,Med Prime INDÚSTRIA E COMÉRCIO LTDA,Med Prime,83690986000104,CLIENTE,MEDIA,SAUDE_HUMANA,True,2017-05-24,,True,0.90,REGULAR
VAV,Vitta Atelier INDÚSTRIA E COMÉRCIO LTDA,Vitta Atelier,55828854000152,CLIENTE,PEQUENA,MODA_ACESSORIOS,True,2018-05-19,,True,0.90,REGULAR
TRC,NutriCasa Brasil LTDA,NutriCasa Brasil,77947213000150,CLIENTE,GRANDE,ALIMENTICIO,False,2018-12-20,2024-01-18,False,0.95,REGULAR
OOR,Orbe Ouro S.A.,Orbe Ouro,74746680000123,CLIENTE,MEGA,JOALHERIA,False,2025-02-09,,True,0.97,REGULAR
LNB,Linea Brasil COMÉRCIO E DISTRIBUIÇÃO LTDA,Linea Brasil,94993592000133,CLIENTE,PEQUENA,MODA_ACESSORIOS,True,2020-12-02,2025-09-16,False,0.90,REGULAR
NGB,Noma Group Brasil S.A.,Noma Group Brasil,57018946000100,CLIENTE,MEDIA,MODA_ACESSORIOS,True,2025-12-14,,True,0.90,REGULAR
ODR,Orbe Design S.A.,Orbe Design,83828838000103,CLIENTE,MEDIA,JOALHERIA,True,2020-04-03,2024-09-10,False,0.90,REGULAR
VDV,Valenza Design S.A.,Valenza Design,54619747000151,CLIENTE,MEDIA,JOALHERIA,False,2022-05-05,2023-10-13,False,0.90,REGULAR
AGI,Alimora Group Indústria LTDA,Alimora Group Indústria,62916543000100,CLIENTE,MEDIA,ALIMENTICIO,False,2021-07-24,2025-10-17,False,0.90,REGULAR
MGN,Magnólia Prime COMÉRCIO E DISTRIBUIÇÃO LTDA,Magnólia Prime,89012743000195,CLIENTE,PEQUENA,ESTETICA_BELEZA,False,2016-04-26,,True,0.90,REGULAR
JJJ,Joya Jewels LTDA,Joya Jewels,25165943000103,CLIENTE,MEDIA,JOALHERIA,True,2023-04-13,2024-02-05,False,0.90,REGULAR
PRM,PrimeNutri Labs BRASIL LTDA,PrimeNutri Labs,30932067000125,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,True,2019-06-08,,True,0.90,REGULAR
BTB,BioOral Tech BRASIL LTDA,BioOral Tech,95182760000173,CLIENTE,PEQUENA,ODONTOLOGICO,False,2020-06-19,,True,0.90,REGULAR
LML,Lumina Medical INDÚSTRIA E COMÉRCIO LTDA,Lumina Medical,57217149000144,CLIENTE,GRANDE,SAUDE_HUMANA,True,2019-05-23,,True,0.95,REGULAR
CRS,Core Science S.A.,Core Science,86947972000103,CLIENTE,PEQUENA,SUPLEMENTOS_ALIMENTARES,False,2020-02-02,2024-12-03,False,0.90,REGULAR
MXF,MaxFit Performance LTDA,MaxFit Performance,73634916000177,CLIENTE,GRANDE,SUPLEMENTOS_ALIMENTARES,True,2019-06-15,2024-04-05,False,0.95,REGULAR
VGS,Vet Group Solutions INDÚSTRIA E COMÉRCIO LTDA,Vet Group Solutions,93481843000138,CLIENTE,PEQUENA,SAUDE_ANIMAL,True,2022-04-18,,True,0.90,REGULAR
VTV,Vet Vitta S.A.,Vet Vitta,11043267000182,CLIENTE,PEQUENA,SAUDE_ANIMAL,True,2018-04-16,,True,0.90,REGULAR
DSD,Derma Solutions INDÚSTRIA E COMÉRCIO LTDA,Derma Solutions,38525825000100,CLIENTE,MEDIA,COSMETICOS_DERMATOLOGICOS,False,2016-07-23,2024-10-22,False,0.90,REGULAR
MSN,Maison Essentials INDÚSTRIA E COMÉRCIO LTDA,Maison Essentials,18210036000165,CLIENTE,PEQUENA,ESTETICA_BELEZA,True,2024-06-20,2025-04-18,False,0.90,REGULAR
DGL,Derma Group Labs LTDA,Derma Group Labs,19000180000130,CLIENTE,PEQUENA,COSMETICOS_DERMATOLOGICOS,False,2019-03-06,2024-07-13,False,0.90,REGULAR
CRL,Cura Life LTDA,Cura Life,97587881000120,CLIENTE,GRANDE,SAUDE_HUMANA,False,2019-06-24,2025-08-01,False,0.98,REGULAR
CMC,Cutis Medical LTDA,Cutis Medical,46300277000130,CLIENTE,MEDIA,COSMETICOS_DERMATOLOGICOS,True,2019-07-11,2025-05-04,False,0.90,REGULAR
GPG,GranMio Produtos INDÚSTRIA E COMÉRCIO LTDA,GranMio Produtos,25028553000183,CLIENTE,MEGA,ALIMENTICIO,True,2021-12-08,2025-03-17,False,0.98,REGULAR
NVB,Nova Brasil S.A.,Nova Brasil,81118991000103,CLIENTE,GRANDE,ELETRONICOS,False,2017-12-09,,True,0.95,REGULAR
NVS,Nova Solutions BRASIL LTDA,Nova Solutions,97775313000153,CLIENTE,MEGA,ELETRONICOS,False,2018-10-18,2025-11-15,False,0.98,REGULAR
GCG,Glow Concept S.A.,Glow Concept,56192913000101,CLIENTE,MEGA,ESTETICA_BELEZA,False,2021-10-14,2025-04-01,False,0.98,REGULAR
LNP,Plena Prime LTDA,Plena Prime,94588052000174,CLIENTE,PEQUENA,SAUDE_HUMANA,True,2017-03-16,2024-12-02,False,0.90,REGULAR
AJR,Aurum Joias S.A.,Aurum Joias,54592852000144,CLIENTE,PEQUENA,JOALHERIA,True,2021-05-06,,True,0.90,REGULAR
BGB,BelaMesa Gourmet INDÚSTRIA E COMÉRCIO LTDA,BelaMesa Gourmet,67328792000107,CLIENTE,GRANDE,ALIMENTICIO,True,2021-12-28,2025-09-11,False,0.98,REGULAR
NEN,Nova Electronics COMÉRCIO E DISTRIBUIÇÃO LTDA,Nova Electronics,35434901000176,CLIENTE,MEGA,ELETRONICOS,True,2019-11-17,2025-07-25,False,0.98,REGULAR
RGR,Aura Group Studio INDÚSTRIA E COMÉRCIO LTDA,Aura Group Studio,93620131000152,CLIENTE,MEDIA,ESTETICA_BELEZA,True,2020-07-04,,True,0.90,REGULAR
FBF,Fauna Brasil COMÉRCIO E DISTRIBUIÇÃO LTDA,Fauna Brasil,42827902000146,CLIENTE,PEQUENA,SAUDE_ANIMAL,False,2023-11-20,2025-10-22,False,0.90,REGULAR
SNS,Strong Nutrition COMÉRCIO E DISTRIBUIÇÃO LTDA,Strong Nutrition,67247886000143,CLIENTE,GRANDE,SUPLEMENTOS_ALIMENTARES,True,2019-10-26,,True,0.95,REGULAR
CRB,Core Brasil BRASIL LTDA,Core Brasil,53909856000140,CLIENTE,PEQUENA,SUPLEMENTOS_ALIMENTARES,False,2018-12-02,2023-04-26,False,0.90,REGULAR
LPL,Lumi Prime S.A.,Lumi Prime,14188093000134,CLIENTE,PEQUENA,ESTETICA_BELEZA,True,2026-02-12,,True,0.90,REGULAR
CNC,Core Nutrition S.A.,Core Nutrition,42782937000106,CLIENTE,MICRO,SUPLEMENTOS_ALIMENTARES,True,2017-08-28,2021-11-25,False,0.90,REGULAR
TFT,TerraDourada Foods LTDA,TerraDourada Foods,21342852000137,CLIENTE,GRANDE,ALIMENTICIO,True,2023-03-26,2025-12-17,False,0.98,REGULAR
OGM,Oral Group Medical LTDA,Oral Group Medical,59216026000114,CLIENTE,MEDIA,ODONTOLOGICO,True,2020-07-04,,True,0.90,REGULAR
MWM,Marea Wear LTDA,Marea Wear,41261729000107,CLIENTE,MICRO,MODA_ACESSORIOS,True,2019-02-13,2023-09-03,False,0.90,REGULAR
NXB,Nexa Brasil S.A.,Nexa Brasil,77963398000196,CLIENTE,MEDIA,SAUDE_HUMANA,True,2021-02-26,,True,0.90,REGULAR
BVB,BioVet Vitta COMÉRCIO E DISTRIBUIÇÃO LTDA,BioVet Vitta,58714160000182,CLIENTE,MEGA,SAUDE_ANIMAL,False,2022-09-03,2024-12-24,False,0.97,REGULAR
NLN,Nutra Life S.A.,Nutra Life,92563448000131,CLIENTE,MEDIA,SUPLEMENTOS_ALIMENTARES,False,2017-01-11,,True,0.90,REGULAR
TRR,TerraDourada Alimentos COMÉRCIO E DISTRIBUIÇÃO LTDA,TerraDourada Alimentos,60025056000122,CLIENTE,GRANDE,ALIMENTICIO,False,2025-08-11,,True,0.95,REGULAR
CGB,Core Group Brasil BRASIL LTDA,Core Group Brasil,44081504000159,CLIENTE,PEQUENA,ELETRONICOS,False,2025-04-20,,True,0.90,REGULAR
TTD,VittaDerma Labs S.A.,VittaDerma Labs,23530706000160,CLIENTE,PEQUENA,COSMETICOS_DERMATOLOGICOS,True,2021-05-03,,True,0.90,REGULAR
DGD,Dermo Group Derm INDÚSTRIA E COMÉRCIO LTDA,Dermo Group Derm,54179599000100,CLIENTE,MEGA,COSMETICOS_DERMATOLOGICOS,True,2020-02-18,,True,0.96,REGULAR
