sigla,n_itens,n_destinatarios,pedidos_mes_base,pct_grade,pct_exclusivo,fator_preco,fator_custo,deposito,estoca
MPM,4,5,8,0.08,0.008,0.946,1.037,0.04,False
CLC,19,5,24,0.2,0.019,1.02,1.025,0.01,False
SBS,19,14,11,0.06,0.028,0.977,0.906,0.21,False
CTS,119,492,2453,0.85,0.002,0.666,1.4,0.14,True
PNP,62,155,266,0.75,0.029,0.523,1.347,0.06,True
DMD,15,12,22,0.2,0.016,1.064,1.031,0.14,False
NGC,9,3,7,0.24,0.01,0.932,1.053,0.21,False
VLN,11,8,15,0.21,0.005,1.062,0.933,0.02,False
PLN,10,3,5,0.12,0.02,1.074,0.94,0.16,False
SDS,12,10,24,0.16,0.021,1.053,0.967,0.12,True
MND,12,12,18,0.29,0.007,0.991,0.926,0.15,False
MGC,24,43,37,0.18,0.021,0.927,1.012,0.2,False
ABX,9,1,3,0.31,0.009,0.923,0.898,0.09,False
TGS,52,165,377,0.82,0.008,0.756,1.258,0.16,True
PEP,35,40,33,0.15,0.004,1.009,1.029,0.09,True
PLP,5,1,6,0.14,0.014,0.977,1.0,0.12,False
PTS,19,57,68,0.26,0.001,1.032,1.008,0.23,True
PTR,47,149,237,0.6,0.026,0.748,1.348,0.62,True
BRG,40,43,35,0.17,0.004,1.014,0.899,0.03,True
VTP,28,45,71,0.17,0.013,1.051,1.002,0.0,False
MGL,29,55,73,0.25,0.001,0.975,0.88,0.03,True
AIL,9,5,4,0.11,0.005,1.008,0.933,0.02,False
TTF,28,28,26,0.27,0.025,1.065,1.034,0.03,False
VBV,31,88,403,0.55,0.024,0.954,0.998,0.69,True
PRS,13,8,10,0.12,0.004,0.931,0.966,0.08,False
BPB,38,162,208,0.59,0.015,0.729,1.304,0.69,True
LWL,17,31,48,0.29,0.002,0.97,0.965,0.01,False
CFC,50,97,247,0.7,0.005,0.915,1.048,0.87,True
OGC,9,5,1,0.12,0.029,1.042,0.936,0.07,False
VLT,9,2,8,0.09,0.025,0.928,0.907,0.08,False
SLS,15,46,31,0.07,0.01,1.025,1.033,0.14,True
MDP,39,56,76,0.17,0.004,1.044,0.933,0.12,True
VAV,16,11,17,0.28,0.022,1.042,1.029,0.11,True
TRC,37,206,210,0.6,0.009,0.573,1.152,0.52,True
OOR,137,698,2255,0.56,0.027,0.745,1.447,0.53,True
LNB,11,9,21,0.12,0.009,1.07,0.923,0.2,False
NGB,34,56,59,0.08,0.024,1.075,0.921,0.16,False
ODR,39,41,65,0.12,0.011,0.999,0.958,0.15,True
VDV,22,20,46,0.33,0.028,1.076,0.891,0.14,True
AGI,23,25,56,0.34,0.028,0.967,0.886,0.11,False
MGN,19,14,13,0.06,0.023,1.007,1.042,0.08,False
JJJ,24,42,49,0.27,0.024,0.978,1.044,0.18,False
PRM,22,23,53,0.16,0.024,0.938,0.997,0.17,True
BTB,13,6,6,0.07,0.025,1.019,0.965,0.08,False
LML,62,120,188,0.69,0.01,0.661,1.111,0.24,True
CRS,9,5,14,0.33,0.005,1.071,0.976,0.18,False
MXF,43,245,146,0.56,0.006,0.598,1.166,0.15,True
VGS,18,12,15,0.16,0.009,0.98,0.975,0.11,True
VTV,12,6,19,0.25,0.028,0.927,0.963,0.15,True
DSD,40,26,33,0.16,0.0,0.987,0.951,0.21,False
MSN,14,6,22,0.3,0.011,1.074,0.901,0.05,False
DGL,17,15,21,0.14,0.022,0.993,0.939,0.16,False
CRL,53,209,327,0.73,0.025,0.71,1.258,0.21,True
CMC,17,21,35,0.33,0.002,1.02,0.977,0.07,False
GPG,92,710,1616,0.68,0.026,0.688,1.126,0.18,True
NVB,46,153,260,0.7,0.016,0.768,1.266,0.0,True
NVS,88,528,2556,0.65,0.015,0.756,1.388,0.15,True
GCG,60,537,912,0.61,0.016,0.772,1.196,0.23,True
LNP,11,9,8,0.2,0.017,0.967,1.025,0.05,False
AJR,12,9,12,0.08,0.029,0.934,0.95,0.05,False
BGB,72,118,393,0.63,0.009,0.889,1.005,0.08,True
NEN,73,722,2569,0.78,0.01,0.988,0.941,0.23,True
RGR,33,30,80,0.08,0.004,1.058,0.898,0.16,True
FBF,18,7,23,0.09,0.007,1.027,0.884,0.04,False
SNS,52,189,143,0.61,0.009,0.768,1.375,0.89,True
CRB,19,6,8,0.14,0.024,0.967,0.885,0.0,False
LPL,17,5,19,0.28,0.024,0.936,0.96,0.0,True
CNC,7,2,4,0.2,0.016,1.064,1.005,0.1,False
TFT,54,192,382,0.71,0.014,0.549,1.236,0.23,True
OGM,32,45,74,0.24,0.012,0.99,0.987,0.23,False
MWM,5,5,6,0.08,0.006,1.029,0.968,0.03,False
NXB,28,57,81,0.12,0.026,0.99,0.924,0.05,True
BVB,71,400,1922,0.82,0.013,0.647,1.309,0.13,True
NLN,20,43,85,0.3,0.004,1.059,1.044,0.08,True
TRR,33,86,246,0.79,0.007,0.927,1.041,0.75,True
CGB,19,13,13,0.2,0.015,0.974,0.911,0.09,False
TTD,20,13,7,0.12,0.016,1.035,1.03,0.18,False
DGD,83,549,1212,0.83,0.017,0.565,1.341,0.04,True
PTP,37,22,74,0.33,0.012,0.989,1.051,0.19,True
BEB,20,8,10,0.21,0.002,0.995,0.944,0.12,False
ALN,10,2,3,0.27,0.014,0.998,0.941,0.04,False
DNT,36,206,349,0.82,0.001,0.575,1.372,0.22,True
CRD,77,236,356,0.7,0.009,0.633,1.203,0.6,True
PSP,10,3,2,0.21,0.009,1.037,0.888,0.08,False
VMV,16,7,24,0.2,0.003,0.922,0.902,0.23,False
BIB,19,42,50,0.34,0.021,1.038,0.98,0.1,True
HSH,26,54,38,0.25,0.025,1.077,0.926,0.2,True
AGD,25,58,73,0.14,0.018,0.927,0.909,0.23,True
NXS,72,88,258,0.58,0.008,0.929,1.028,0.16,True
OCR,20,39,69,0.14,0.009,1.061,1.007,0.01,True
CGC,45,119,370,0.67,0.014,0.64,1.425,0.2,True
DAD,3,5,7,0.18,0.03,1.073,0.977,0.01,False
CGL,20,43,75,0.11,0.015,1.08,1.014,0.09,True
TTC,5,1,3,0.28,0.005,0.923,0.929,0.16,False
WFW,39,36,69,0.25,0.023,0.929,1.045,0.06,False
XNG,19,20,62,0.21,0.009,0.966,0.903,0.01,False
DLD,58,229,217,0.67,0.004,0.757,1.444,0.04,True
NTL,36,39,77,0.28,0.009,1.036,1.052,0.07,True
CCC,18,38,81,0.05,0.022,1.004,1.06,0.07,False
APN,20,5,23,0.25,0.028,1.062,1.057,0.25,False
NGS,9,3,6,0.13,0.009,0.959,0.937,0.11,False
OGO,35,45,64,0.33,0.023,0.955,1.024,0.13,True
TRD,30,50,73,0.12,0.0,0.952,1.02,0.03,True
BBB,53,181,253,0.74,0.028,0.684,1.191,0.69,True
NDN,18,11,13,0.27,0.025,0.997,0.923,0.23,True
TTM,7,3,2,0.25,0.016,0.991,0.979,0.12,False
LGH,32,26,78,0.1,0.014,1.005,0.911,0.05,False
LNL,9,10,13,0.07,0.025,1.01,0.973,0.06,True
NTS,27,43,54,0.25,0.002,0.94,0.966,0.05,True
LTB,37,170,275,0.65,0.001,0.556,1.447,0.17,True
AAV,31,109,141,0.76,0.024,0.678,1.287,0.08,True
RMN,36,23,68,0.29,0.02,0.941,0.953,0.11,True
BGL,38,42,25,0.2,0.008,1.019,0.897,0.05,False
CGN,40,47,78,0.12,0.019,0.922,0.975,0.07,True
LEL,8,11,17,0.06,0.004,0.934,0.928,0.05,False
PVP,20,21,84,0.16,0.029,0.978,1.005,0.15,True
JGA,141,756,1421,0.68,0.006,0.642,1.352,0.77,True
LGC,38,31,75,0.27,0.029,0.929,0.914,0.2,True
GFG,8,14,7,0.14,0.006,1.015,0.924,0.05,False
APL,32,94,368,0.68,0.029,0.53,1.265,0.6,True
ASN,19,7,23,0.12,0.0,1.048,0.929,0.17,False
BTG,39,215,405,0.58,0.009,0.536,1.14,0.86,True
WCW,3,1,2,0.14,0.007,1.028,0.935,0.05,False
PWR,18,54,43,0.18,0.01,0.959,0.923,0.01,True
CGM,5,3,4,0.19,0.025,1.043,0.966,0.25,False
EGN,21,33,66,0.14,0.005,0.983,0.898,0.25,True
NGL,4,3,6,0.12,0.02,1.05,0.932,0.21,False
PGC,71,473,1360,0.63,0.003,0.686,1.417,0.85,True
