tabela,coluna,antes,depois,ocorrencias,motivo
endereco,cidade,SANTO ANDRE,Santo André,29,acento restaurado
endereco,cidade,MACEIÓ,Maceió,29,caixa alta corrigida
endereco,cidade,CASCAVEL,Cascavel,29,caixa alta corrigida
endereco,cidade,TERESINA,Teresina,28,caixa alta corrigida
endereco,nome_local,Centro de Distribuicao Central,Centro de Distribuição Central,27,acento restaurado
endereco,cidade,Cuiaba,Cuiabá,27,acento restaurado
endereco,cidade,JOÃO PESSOA,João Pessoa,26,caixa alta corrigida
endereco,cidade,PALMAS,Palmas,26,caixa alta corrigida
endereco,nome_local,FARMACIA NORTE,Farmácia Norte,26,acento restaurado
endereco,cidade,ANANINDEUA,Ananindeua,26,caixa alta corrigida
endereco,cidade,Sao Luis,São Luís,25,acento restaurado
endereco,nome_local,CENTRO DE DISTRIBUICAO SUL,Centro de Distribuição Sul,24,acento restaurado
endereco,cidade,LINS,Lins,24,caixa alta corrigida
endereco,nome_local,FARMACIA POPULAR,Farmácia Popular,23,acento restaurado
endereco,cidade,Sao Jose do Rio Preto,São José do Rio Preto,23,acento restaurado
endereco,nome_local,Clinica Central,Clínica Central,23,acento restaurado
endereco,cidade,Joao Pessoa,João Pessoa,22,acento restaurado
endereco,cidade,PELOTAS,Pelotas,22,caixa alta corrigida
endereco,cidade,Niteroi,Niterói,22,acento restaurado
endereco,cidade,Belem,Belém,21,acento restaurado
endereco,nome_local,CENTRO DE DISTRIBUICAO CENTRAL,Centro de Distribuição Central,21,acento restaurado
endereco,nome_local,CLINICA CENTRAL,Clínica Central,21,acento restaurado
endereco,nome_local,CONSULTORIO DO VALE,Consultório do Vale,21,acento restaurado
endereco,cidade,ANÁPOLIS,Anápolis,21,caixa alta corrigida
endereco,nome_local,CLINICA SUL,Clínica Sul,20,acento restaurado
endereco,nome_local,CENTRO DE DISTRIBUICAO DO VALE,Centro de Distribuição do Vale,20,acento restaurado
endereco,cidade,BRASILIA,Brasília,19,acento restaurado
endereco,cidade,PORTO VELHO,Porto Velho,19,caixa alta corrigida
endereco,nome_local,CENTRO DE DISTRIBUICAO POPULAR,Centro de Distribuição Popular,19,acento restaurado
endereco,nome_local,FARMACIA DO VALE,Farmácia do Vale,19,acento restaurado
endereco,cidade,LAVRAS,Lavras,18,caixa alta corrigida
endereco,nome_local,CLINICA NORTE,Clínica Norte,18,acento restaurado
endereco,nome_local,CONSULTORIO REAL,Consultório Real,18,acento restaurado
endereco,nome_local,CONSULTORIO IDEAL,Consultório Ideal,18,acento restaurado
endereco,nome_local,CONSULTORIO NORTE,Consultório Norte,17,acento restaurado
endereco,cidade,Maringa,Maringá,17,acento restaurado
endereco,cidade,Jaboatao dos Guararapes,Jaboatão dos Guararapes,16,acento restaurado
endereco,nome_local,CONSULTORIO POPULAR,Consultório Popular,16,acento restaurado
endereco,cidade,SAO JOSE DOS CAMPOS,São José dos Campos,16,acento restaurado
endereco,nome_local,CENTRO DE DISTRIBUICAO IDEAL,Centro de Distribuição Ideal,16,acento restaurado
endereco,nome_local,FARMACIA CENTRAL,Farmácia Central,15,acento restaurado
endereco,cidade,MACAPÁ,Macapá,15,caixa alta corrigida
endereco,nome_local,CLINICA REAL,Clínica Real,15,acento restaurado
endereco,cidade,RIO BRANCO,Rio Branco,15,caixa alta corrigida
endereco,nome_local,CLINICA POPULAR,Clínica Popular,14,acento restaurado
endereco,cidade,MARINGA,Maringá,14,acento restaurado
endereco,cidade,Anapolis,Anápolis,14,acento restaurado
endereco,nome_local,CENTRO DE DISTRIBUICAO REAL,Centro de Distribuição Real,14,acento restaurado
endereco,nome_local,CLINICA IDEAL,Clínica Ideal,13,acento restaurado
endereco,nome_local,CONSULTORIO CENTRAL,Consultório Central,13,acento restaurado
endereco,cidade,BOA VISTA,Boa Vista,13,caixa alta corrigida
endereco,cidade,VITORIA,Vitória,12,acento restaurado
endereco,cidade,FLORIANOPOLIS,Florianópolis,12,acento restaurado
endereco,cidade,Itajai,Itajaí,12,acento restaurado
endereco,nome_local,FARMACIA IDEAL,Farmácia Ideal,11,acento restaurado
endereco,cidade,Maceio,Maceió,11,acento restaurado
endereco,nome_local,FARMACIA SUL,Farmácia Sul,11,acento restaurado
endereco,nome_local,FARMACIA REAL,Farmácia Real,10,acento restaurado
endereco,cidade,GOIANIA,Goiânia,10,acento restaurado
endereco,nome_local,CLINICA DO VALE,Clínica do Vale,10,acento restaurado
endereco,nome_local,CONSULTORIO SUL,Consultório Sul,10,acento restaurado
endereco,cidade,NITEROI,Niterói,8,acento restaurado
endereco,cidade,CUIABA,Cuiabá,8,acento restaurado
endereco,cidade,UBERLANDIA,Uberlândia,8,acento restaurado
endereco,nome_local,CENTRO DE DISTRIBUICAO NORTE,Centro de Distribuição Norte,8,acento restaurado
endereco,cidade,JOAO PESSOA,João Pessoa,7,acento restaurado
endereco,cidade,BELEM,Belém,7,acento restaurado
endereco,cidade,JABOATAO DOS GUARARAPES,Jaboatão dos Guararapes,6,acento restaurado
endereco,cidade,ITAJAI,Itajaí,6,acento restaurado
endereco,cidade,ANAPOLIS,Anápolis,5,acento restaurado
endereco,logradouro,"R. Projetada, 3623","Rua Projetada, 3623",5,abreviação expandida
endereco,logradouro,"R. Projetada, 855","Rua Projetada, 855",5,abreviação expandida
endereco,cidade,MACEIO,Maceió,5,acento restaurado
endereco,logradouro,"Rua XV de Novembro, 2043","Rua Xv de Novembro, 2043",5,caixa corrigida
endereco,cidade,SAO LUIS,São Luís,5,acento restaurado
endereco,cidade,JUNDIAI,Jundiaí,5,acento restaurado
endereco,cidade,SÃO BERNARDO DO CAMPO,São Bernardo do Campo,4,caixa alta corrigida
endereco,logradouro,"Rua XV de Novembro, 1884","Rua Xv de Novembro, 1884",4,caixa corrigida
endereco,logradouro,"R. Brasil, 4391","Rua Brasil, 4391",4,abreviação expandida
endereco,cidade,Macapa,Macapá,4,acento restaurado
endereco,logradouro,"R. Projetada, 2348","Rua Projetada, 2348",4,abreviação expandida
endereco,logradouro,"R. Projetada, 2066","Rua Projetada, 2066",4,abreviação expandida
endereco,logradouro,"R. Projetada, 202","Rua Projetada, 202",4,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 555","Rua Xv de Novembro, 555",4,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 1617","Rua Xv de Novembro, 1617",4,caixa corrigida
endereco,logradouro,"R. Projetada, 3838","Rua Projetada, 3838",4,abreviação expandida
endereco,logradouro,"R. XV de Novembro, 3432","Rua Xv de Novembro, 3432",4,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 4280","Rua Xv de Novembro, 4280",4,caixa corrigida
endereco,logradouro,"R. Brasil, 1155","Rua Brasil, 1155",4,abreviação expandida
endereco,logradouro,"R. das Flores, 4285","Rua das Flores, 4285",4,abreviação expandida
endereco,logradouro,"R. das Flores, 3378","Rua das Flores, 3378",4,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 3941","Rua Xv de Novembro, 3941",4,caixa corrigida
endereco,logradouro,"R. XV de Novembro, 978","Rua Xv de Novembro, 978",4,abreviação expandida
endereco,logradouro,"R. das Flores, 1320","Rua das Flores, 1320",4,abreviação expandida
endereco,logradouro,"R. das Flores, 1620","Rua das Flores, 1620",4,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 3016","Rua Xv de Novembro, 3016",4,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2900","Rua Xv de Novembro, 2900",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2870","Rua Xv de Novembro, 2870",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2818","Rua Xv de Novembro, 2818",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 3036","Rua Xv de Novembro, 3036",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2993","Rua Xv de Novembro, 2993",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2968","Rua Xv de Novembro, 2968",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2940","Rua Xv de Novembro, 2940",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2777","Rua Xv de Novembro, 2777",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2764","Rua Xv de Novembro, 2764",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2719","Rua Xv de Novembro, 2719",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2679","Rua Xv de Novembro, 2679",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 2672","Rua Xv de Novembro, 2672",3,caixa corrigida
endereco,logradouro,"R. Projetada, 3594","Rua Projetada, 3594",3,abreviação expandida
endereco,logradouro,"R. Projetada, 3563","Rua Projetada, 3563",3,abreviação expandida
endereco,logradouro,"R. Brasil, 3305","Rua Brasil, 3305",3,abreviação expandida
endereco,logradouro,"R. Projetada, 3284","Rua Projetada, 3284",3,abreviação expandida
endereco,logradouro,"R. Brasil, 3405","Rua Brasil, 3405",3,abreviação expandida
endereco,logradouro,"R. Projetada, 3096","Rua Projetada, 3096",3,abreviação expandida
endereco,logradouro,"R. Brasil, 3442","Rua Brasil, 3442",3,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 507","Rua Xv de Novembro, 507",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 4953","Rua Xv de Novembro, 4953",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 4941","Rua Xv de Novembro, 4941",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 4917","Rua Xv de Novembro, 4917",3,caixa corrigida
endereco,logradouro,"R. Projetada, 2870","Rua Projetada, 2870",3,abreviação expandida
endereco,logradouro,"R. Brasil, 349","Rua Brasil, 349",3,abreviação expandida
endereco,logradouro,"R. Projetada, 2812","Rua Projetada, 2812",3,abreviação expandida
endereco,logradouro,"R. Projetada, 2622","Rua Projetada, 2622",3,abreviação expandida
endereco,logradouro,"R. Projetada, 2575","Rua Projetada, 2575",3,abreviação expandida
endereco,logradouro,"R. Projetada, 651","Rua Projetada, 651",3,abreviação expandida
endereco,logradouro,"R. Projetada, 4876","Rua Projetada, 4876",3,abreviação expandida
endereco,logradouro,"R. Projetada, 4709","Rua Projetada, 4709",3,abreviação expandida
endereco,logradouro,"R. Projetada, 4590","Rua Projetada, 4590",3,abreviação expandida
endereco,logradouro,"R. Brasil, 3088","Rua Brasil, 3088",3,abreviação expandida
endereco,logradouro,"R. Projetada, 4286","Rua Projetada, 4286",3,abreviação expandida
endereco,logradouro,"R. Brasil, 3150","Rua Brasil, 3150",3,abreviação expandida
endereco,logradouro,"R. Projetada, 4185","Rua Projetada, 4185",3,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 4816","Rua Xv de Novembro, 4816",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 4776","Rua Xv de Novembro, 4776",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 4719","Rua Xv de Novembro, 4719",3,caixa corrigida
endereco,logradouro,"R. Projetada, 4062","Rua Projetada, 4062",3,abreviação expandida
endereco,logradouro,"R. Projetada, 3730","Rua Projetada, 3730",3,abreviação expandida
endereco,logradouro,"R. Projetada, 3661","Rua Projetada, 3661",3,abreviação expandida
endereco,logradouro,"R. XV de Novembro, 1626","Rua Xv de Novembro, 1626",3,abreviação expandida
endereco,logradouro,"R. Brasil, 2631","Rua Brasil, 2631",3,abreviação expandida
endereco,logradouro,"R. XV de Novembro, 1240","Rua Xv de Novembro, 1240",3,abreviação expandida
endereco,logradouro,"R. XV de Novembro, 1178","Rua Xv de Novembro, 1178",3,abreviação expandida
endereco,logradouro,"R. XV de Novembro, 1080","Rua Xv de Novembro, 1080",3,abreviação expandida
endereco,logradouro,"R. Brasil, 2730","Rua Brasil, 2730",3,abreviação expandida
endereco,logradouro,"R. Brasil, 2756","Rua Brasil, 2756",3,abreviação expandida
endereco,logradouro,"Rua XV de Novembro, 4715","Rua Xv de Novembro, 4715",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 4697","Rua Xv de Novembro, 4697",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 4689","Rua Xv de Novembro, 4689",3,caixa corrigida
endereco,logradouro,"Rua XV de Novembro, 4492","Rua Xv de Novembro, 4492",3,caixa corrigida
endereco,logradouro,"R. Brasil, 2785","Rua Brasil, 2785",3,abreviação expandida
endereco,logradouro,"R. Projetada, 992","Rua Projetada, 992",3,abreviação expandida
endereco,logradouro,"R. Brasil, 2834","Rua Brasil, 2834",3,abreviação expandida
endereco,logradouro,"R. Projetada, 725","Rua Projetada, 725",3,abreviação expandida
