chave_endereco,cadastros_no_grupo,id,nome_local,logradouro,bairro,cidade,uf,cep
ruabrasil1305|belohorizonte|MG,2,16340,Loja Popular,"Rua Brasil, 1305",Centro,Belo Horizonte,MG,49071710
ruabrasil1403|saopaulo|SP,2,4928,Loja Ideal,"Rua Brasil, 1403",Industrial,São Paulo,SP,10899890
ruabrasil1403|saopaulo|SP,2,19179,Clínica Central,"Rua Brasil, 1403",Jardim,São Paulo,SP,36980040
ruabrasil1410|uberlandia|MG,2,4585,Loja Real,"Rua Brasil, 1410",Vila Nova,Uberlândia,MG,23454640
ruabrasil1410|uberlandia|MG,2,13380,Centro de Distribuição do Vale,"Rua Brasil, 1410",Jardim,Uberlândia,MG,36426230
ruabrasil1417|portoalegre|RS,2,4499,Loja Norte,"Rua Brasil, 1417",Vila Nova,Porto Alegre,RS,26282920
ruabrasil1417|portoalegre|RS,2,14455,Atacado Ideal,"Rua Brasil, 1417",Vila Nova,Porto Alegre,RS,68746260
ruabrasil1424|belohorizonte|MG,2,9360,Farmácia Norte,"Rua Brasil, 1424",Vila Nova,Belo Horizonte,MG,11972130
ruabrasil1424|belohorizonte|MG,2,11767,Atacado Central,"Rua Brasil, 1424",Jardim,Belo Horizonte,MG,78513670
ruabrasil1621|fortaleza|CE,2,382,Consultório Sul,"Rua Brasil, 1621",Vila Nova,Fortaleza,CE,77571990
ruabrasil1621|fortaleza|CE,2,4926,Loja Popular,"Rua Brasil, 1621",Vila Nova,Fortaleza,CE,24537760
ruabrasil1657|belohorizonte|MG,2,1484,Clínica Norte,"Rua Brasil, 1657",Vila Nova,Belo Horizonte,MG,23011250
ruabrasil1657|belohorizonte|MG,2,6148,Loja Popular,"Rua Brasil, 1657",Centro,Belo Horizonte,MG,76307090
ruabrasil1753|saopaulo|SP,2,6570,Clínica Popular,"Rua Brasil, 1753",Vila Nova,São Paulo,SP,98785350
ruabrasil1753|saopaulo|SP,2,12571,Clínica Real,"Rua Brasil, 1753",Jardim,São Paulo,SP,38162150
ruabrasil175|saopaulo|SP,2,8842,Centro de Distribuição Central,"Rua Brasil, 175",Jardim,São Paulo,SP,10173290
ruabrasil175|saopaulo|SP,2,15332,Mercado Ideal,"Rua Brasil, 175",Vila Nova,São Paulo,SP,41104010
ruabrasil176|riodejaneiro|RJ,2,1773,Clínica Norte,"Rua Brasil, 176",Vila Nova,Rio de Janeiro,RJ,43766410
ruabrasil176|riodejaneiro|RJ,2,14029,Distribuidora Popular,"Rua Brasil, 176",Industrial,Rio de Janeiro,RJ,76045730
ruabrasil1791|saopaulo|SP,2,5913,Clínica Real,"Rua Brasil, 1791",Jardim,São Paulo,SP,45170070
ruabrasil1791|saopaulo|SP,2,14383,Distribuidora Central,"Rua Brasil, 1791",Industrial,São Paulo,SP,66337960
ruabrasil1802|salvador|BA,2,1731,Consultório do Vale,"Rua Brasil, 1802",Centro,Salvador,BA,43618560
ruabrasil1802|salvador|BA,2,12992,Loja Real,"Rua Brasil, 1802",Industrial,Salvador,BA,71561950
ruabrasil181|riodejaneiro|RJ,2,6670,Mercado Central,"Rua Brasil, 181",Vila Nova,Rio de Janeiro,RJ,29352240
ruabrasil181|riodejaneiro|RJ,2,13651,Centro de Distribuição Ideal,"Rua Brasil, 181",Jardim,Rio de Janeiro,RJ,38239580
ruabrasil1831|natal|RN,2,1074,Consultório Norte,"Rua Brasil, 1831",Centro,Natal,RN,27461550
ruabrasil1831|natal|RN,2,17799,Mercado Ideal,"Rua Brasil, 1831",Jardim,Natal,RN,51330020
ruabrasil1936|niteroi|RJ,2,3736,Centro de Distribuição Norte,"Rua Brasil, 1936",Jardim,Niterói,RJ,26976280
ruabrasil1936|niteroi|RJ,2,7729,Farmácia Popular,"Rua Brasil, 1936",Industrial,Niterói,RJ,95674830
ruabrasil193|belohorizonte|MG,2,1473,Atacado Ideal,"Rua Brasil, 193",Jardim,Belo Horizonte,MG,30739110
ruabrasil193|belohorizonte|MG,2,8964,Farmácia Real,"Rua Brasil, 193",Industrial,Belo Horizonte,MG,82171580
ruabrasil2006|campinas|SP,2,11769,Mercado Norte,"Rua Brasil, 2006",Industrial,Campinas,SP,21171330
ruabrasil2006|campinas|SP,2,18953,Consultório do Vale,"Rua Brasil, 2006",Jardim,Campinas,SP,38121430
ruabrasil2014|riodejaneiro|RJ,2,7012,Loja Norte,"Rua Brasil, 2014",Vila Nova,Rio de Janeiro,RJ,52781840
ruabrasil2014|riodejaneiro|RJ,2,8575,Farmácia Popular,"Rua Brasil, 2014",Centro,Rio de Janeiro,RJ,37885800
ruabrasil202|riodejaneiro|RJ,2,4645,Clínica Popular,"Rua Brasil, 202",Industrial,Rio de Janeiro,RJ,80556830
ruabrasil202|riodejaneiro|RJ,2,12389,Distribuidora Sul,"Rua Brasil, 202",Centro,Rio de Janeiro,RJ,24317970
ruabrasil2035|guarulhos|SP,2,13974,Centro de Distribuição Popular,"Rua Brasil, 2035",Industrial,Guarulhos,SP,72084730
ruabrasil2035|guarulhos|SP,2,17720,Distribuidora Norte,"Rua Brasil, 2035",Centro,Guarulhos,SP,44518890
ruabrasil2066|campinas|SP,2,3682,Clínica Sul,"Rua Brasil, 2066",Industrial,Campinas,SP,10092000
ruabrasil2066|campinas|SP,2,13807,Clínica Popular,"Rua Brasil, 2066",Industrial,Campinas,SP,41622220
ruabrasil2092|portoalegre|RS,2,3524,Distribuidora Sul,"Rua Brasil, 2092",Industrial,Porto Alegre,RS,85846650
ruabrasil2092|portoalegre|RS,2,17562,Centro de Distribuição Central,"Rua Brasil, 2092",Vila Nova,Porto Alegre,RS,57327670
ruabrasil2162|saopaulo|SP,2,14336,Consultório Central,"Rua Brasil, 2162",Vila Nova,São Paulo,SP,73256840
ruabrasil2162|saopaulo|SP,2,16125,Clínica Ideal,"Rua Brasil, 2162",Centro,São Paulo,SP,11191040
ruabrasil2193|saopaulo|SP,2,5578,Farmácia do Vale,"Rua Brasil, 2193",Centro,São Paulo,SP,20129640
ruabrasil2193|saopaulo|SP,2,12177,Atacado Central,"Rua Brasil, 2193",Jardim,São Paulo,SP,35309590
ruabrasil2314|recife|PE,2,13549,Distribuidora Real,"Rua Brasil, 2314",Centro,Recife,PE,16739230
ruabrasil2314|recife|PE,2,16945,Clínica Central,"Rua Brasil, 2314",Vila Nova,Recife,PE,12239370
ruabrasil2317|santos|SP,2,9320,Centro de Distribuição Sul,"Rua Brasil, 2317",Industrial,Santos,SP,44010870
ruabrasil2317|santos|SP,2,12145,Clínica Norte,"Rua Brasil, 2317",Jardim,Santos,SP,73365430
ruabrasil2360|riodejaneiro|RJ,2,6727,Farmácia Central,"Rua Brasil, 2360",Centro,Rio de Janeiro,RJ,38462810
ruabrasil2360|riodejaneiro|RJ,2,6762,Atacado Norte,"Rua Brasil, 2360",Jardim,Rio de Janeiro,RJ,78990930
ruabrasil2388|saopaulo|SP,2,6353,Farmácia Real,"Rua Brasil, 2388",Centro,São Paulo,SP,13673420
ruabrasil2388|saopaulo|SP,2,17130,Farmácia Norte,"Rua Brasil, 2388",Jardim,São Paulo,SP,54260310
ruabrasil240|saopaulo|SP,2,1710,Mercado Real,"Rua Brasil, 240",Jardim,São Paulo,SP,44685780
ruabrasil240|saopaulo|SP,2,4917,Consultório Central,"Rua Brasil, 240",Vila Nova,São Paulo,SP,44866890
ruabrasil2471|curitiba|PR,2,2106,Distribuidora do Vale,"Rua Brasil, 2471",Vila Nova,Curitiba,PR,67337560
ruabrasil2471|curitiba|PR,2,14745,Distribuidora Central,"Rua Brasil, 2471",Jardim,Curitiba,PR,60686230
ruabrasil2516|saopaulo|SP,2,3536,Farmácia Norte,"Rua Brasil, 2516",Centro,São Paulo,SP,95331500
ruabrasil2516|saopaulo|SP,2,13428,Loja Central,"Rua Brasil, 2516",Jardim,São Paulo,SP,55429240
ruabrasil2537|saopaulo|SP,2,827,Clínica Norte,"Rua Brasil, 2537",Centro,São Paulo,SP,37523560
ruabrasil2537|saopaulo|SP,2,4763,Loja do Vale,"Rua Brasil, 2537",Industrial,São Paulo,SP,80087980
ruabrasil2588|saopaulo|SP,2,11204,Loja do Vale,"Rua Brasil, 2588",Vila Nova,São Paulo,SP,47897940
ruabrasil2588|saopaulo|SP,2,13196,Centro de Distribuição Central,"Rua Brasil, 2588",Industrial,São Paulo,SP,19115820
ruabrasil2656|portoalegre|RS,2,10064,Distribuidora Real,"Rua Brasil, 2656",Jardim,Porto Alegre,RS,11851230
ruabrasil2656|portoalegre|RS,2,14032,Farmácia Central,"Rua Brasil, 2656",Jardim,Porto Alegre,RS,93532570
ruabrasil2692|campinas|SP,2,4581,Mercado Popular,"Rua Brasil, 2692",Vila Nova,Campinas,SP,98582340
ruabrasil2692|campinas|SP,2,16612,Consultório Popular,"Rua Brasil, 2692",Vila Nova,Campinas,SP,94933890
ruabrasil2705|riodejaneiro|RJ,2,8273,Farmácia Central,"Rua Brasil, 2705",Vila Nova,Rio de Janeiro,RJ,86857460
ruabrasil2705|riodejaneiro|RJ,2,14356,Centro de Distribuição Norte,"Rua Brasil, 2705",Vila Nova,Rio de Janeiro,RJ,61867170
ruabrasil2744|saopaulo|SP,2,8037,Consultório Ideal,"Rua Brasil, 2744",Vila Nova,São Paulo,SP,67688330
ruabrasil2744|saopaulo|SP,2,15978,Mercado Norte,"Rua Brasil, 2744",Jardim,São Paulo,SP,13383810
ruabrasil2756|riodejaneiro|RJ,2,3724,Consultório Sul,"Rua Brasil, 2756",Jardim,Rio de Janeiro,RJ,26432930
ruabrasil2756|riodejaneiro|RJ,2,15325,Atacado Ideal,"Rua Brasil, 2756",Industrial,Rio de Janeiro,RJ,73425470
ruabrasil2813|saopaulo|SP,2,5678,Mercado Central,"Rua Brasil, 2813",Vila Nova,São Paulo,SP,48918950
ruabrasil2813|saopaulo|SP,2,17184,Centro de Distribuição Real,"Rua Brasil, 2813",Industrial,São Paulo,SP,90644230
ruabrasil3024|belohorizonte|MG,2,3104,Mercado Ideal,"Rua Brasil, 3024",Vila Nova,Belo Horizonte,MG,18676090
ruabrasil3024|belohorizonte|MG,2,14092,Consultório Popular,"Rua Brasil, 3024",Centro,Belo Horizonte,MG,86568650
ruabrasil3085|saopaulo|SP,2,9922,Consultório Ideal,"Rua Brasil, 3085",Centro,São Paulo,SP,79053500
ruabrasil3085|saopaulo|SP,2,12567,Distribuidora Sul,"Rua Brasil, 3085",Centro,São Paulo,SP,79726090
ruabrasil3259|curitiba|PR,2,18080,Atacado do Vale,"Rua Brasil, 3259",Industrial,Curitiba,PR,27627270
ruabrasil3259|curitiba|PR,2,19167,Loja do Vale,"Rua Brasil, 3259",Vila Nova,Curitiba,PR,23791040
ruabrasil3322|saopaulo|SP,2,5003,Loja Norte,"Rua Brasil, 3322",Vila Nova,São Paulo,SP,96168830
ruabrasil3322|saopaulo|SP,2,8999,Farmácia Norte,"Rua Brasil, 3322",Industrial,São Paulo,SP,20504600
ruabrasil3358|riodejaneiro|RJ,2,2720,Distribuidora Norte,"Rua Brasil, 3358",Vila Nova,Rio de Janeiro,RJ,68978370
ruabrasil3358|riodejaneiro|RJ,2,3043,Farmácia do Vale,"Rua Brasil, 3358",Industrial,Rio de Janeiro,RJ,36312420
ruabrasil3363|guarulhos|SP,2,12554,Atacado do Vale,"Rua Brasil, 3363",Centro,Guarulhos,SP,68878750
ruabrasil3363|guarulhos|SP,2,14805,Atacado Central,"Rua Brasil, 3363",Vila Nova,Guarulhos,SP,97150460
ruabrasil3435|saoluis|MA,2,1781,Clínica Sul,"Rua Brasil, 3435",Centro,São Luís,MA,26901370
ruabrasil3435|saoluis|MA,2,12734,Mercado Real,"Rua Brasil, 3435",Centro,São Luís,MA,66320350
ruabrasil3456|saopaulo|SP,2,9146,Loja Sul,"Rua Brasil, 3456",Centro,São Paulo,SP,78811700
ruabrasil3456|saopaulo|SP,2,11018,Centro de Distribuição Popular,"Rua Brasil, 3456",Vila Nova,São Paulo,SP,61210470
ruabrasil3487|pelotas|RS,2,1136,Loja Central,"Rua Brasil, 3487",Vila Nova,Pelotas,RS,87048520
ruabrasil3487|pelotas|RS,2,11501,Consultório Ideal,"Rua Brasil, 3487",Centro,Pelotas,RS,17573780
ruabrasil3532|saopaulo|SP,2,2685,Mercado do Vale,"Rua Brasil, 3532",Centro,São Paulo,SP,39837970
ruabrasil3532|saopaulo|SP,2,18941,Distribuidora Popular,"Rua Brasil, 3532",Industrial,São Paulo,SP,94852150
ruabrasil3545|maringa|PR,2,7389,Consultório Norte,"Rua Brasil, 3545",Industrial,Maringá,PR,57563510
ruabrasil3545|maringa|PR,2,12745,Consultório Popular,"Rua Brasil, 3545",Vila Nova,Maringá,PR,53512860
ruabrasil3551|saopaulo|SP,2,1277,Mercado Norte,"Rua Brasil, 3551",Industrial,São Paulo,SP,72270200
ruabrasil3551|saopaulo|SP,2,9233,Loja Central,"Rua Brasil, 3551",Jardim,São Paulo,SP,96164100
ruabrasil3573|saopaulo|SP,2,494,Clínica Sul,"Rua Brasil, 3573",Industrial,São Paulo,SP,26630340
ruabrasil3573|saopaulo|SP,2,11070,Loja Sul,"Rua Brasil, 3573",Jardim,São Paulo,SP,11833190
ruabrasil359|brasilia|DF,2,5340,Mercado Real,"Rua Brasil, 359",Vila Nova,Brasília,DF,73329420
ruabrasil359|brasilia|DF,2,17576,Distribuidora Ideal,"Rua Brasil, 359",Vila Nova,Brasília,DF,53513240
ruabrasil3611|campinas|SP,2,13073,Distribuidora Norte,"Rua Brasil, 3611",Industrial,Campinas,SP,35192410
ruabrasil3611|campinas|SP,2,16320,Farmácia Ideal,"Rua Brasil, 3611",Jardim,Campinas,SP,20364560
ruabrasil3650|riodejaneiro|RJ,2,5924,Consultório Norte,"Rua Brasil, 3650",Centro,Rio de Janeiro,RJ,40149820
ruabrasil3650|riodejaneiro|RJ,2,19194,Distribuidora Norte,"Rua Brasil, 3650",Centro,Rio de Janeiro,RJ,65588160
ruabrasil3720|guarulhos|SP,2,14404,Farmácia Central,"Rua Brasil, 3720",Industrial,Guarulhos,SP,22276500
ruabrasil3720|guarulhos|SP,2,14612,Mercado Sul,"Rua Brasil, 3720",Vila Nova,Guarulhos,SP,56125500
ruabrasil3740|campinas|SP,2,7876,Distribuidora Central,"Rua Brasil, 3740",Centro,Campinas,SP,83191860
ruabrasil3740|campinas|SP,2,11450,Atacado do Vale,"Rua Brasil, 3740",Jardim,Campinas,SP,23646400
ruabrasil3778|saopaulo|SP,2,3476,Loja Central,"Rua Brasil, 3778",Industrial,São Paulo,SP,97959290
ruabrasil3778|saopaulo|SP,2,7409,Atacado Ideal,"Rua Brasil, 3778",Jardim,São Paulo,SP,34672690
ruabrasil3829|brasilia|DF,2,2361,Atacado Ideal,"Rua Brasil, 3829",Jardim,Brasília,DF,89396120
ruabrasil3829|brasilia|DF,2,3630,Mercado Popular,"Rua Brasil, 3829",Vila Nova,Brasília,DF,40637060
ruabrasil3920|fortaleza|CE,2,11952,Clínica do Vale,"Rua Brasil, 3920",Jardim,Fortaleza,CE,24472860
ruabrasil3920|fortaleza|CE,2,18093,Atacado Sul,"Rua Brasil, 3920",Jardim,Fortaleza,CE,52475410
ruabrasil4024|riodejaneiro|RJ,2,14219,Consultório Ideal,"Rua Brasil, 4024",Industrial,Rio de Janeiro,RJ,66586250
ruabrasil4024|riodejaneiro|RJ,2,17120,Clínica Central,"Rua Brasil, 4024",Jardim,Rio de Janeiro,RJ,50114940
ruabrasil4072|riodejaneiro|RJ,2,2311,Atacado Sul,"Rua Brasil, 4072",Industrial,Rio de Janeiro,RJ,48815840
ruabrasil4072|riodejaneiro|RJ,2,8125,Farmácia Ideal,"Rua Brasil, 4072",Centro,Rio de Janeiro,RJ,71251280
ruabrasil4081|campinas|SP,2,9211,Farmácia Central,"Rua Brasil, 4081",Vila Nova,Campinas,SP,62060250
ruabrasil4081|campinas|SP,2,16417,Distribuidora Popular,"Rua Brasil, 4081",Jardim,Campinas,SP,29516330
ruabrasil4096|campinas|SP,2,375,Clínica Ideal,"Rua Brasil, 4096",Vila Nova,Campinas,SP,16677830
ruabrasil4096|campinas|SP,2,9206,Distribuidora Central,"Rua Brasil, 4096",Jardim,Campinas,SP,26614470
ruabrasil4189|belohorizonte|MG,2,16050,Consultório Ideal,"Rua Brasil, 4189",Jardim,Belo Horizonte,MG,27719630
ruabrasil4189|belohorizonte|MG,2,19579,Clínica Real,"Rua Brasil, 4189",Vila Nova,Belo Horizonte,MG,87782760
ruabrasil4256|osasco|SP,2,3272,Centro de Distribuição Sul,"Rua Brasil, 4256",Centro,Osasco,SP,11990250
ruabrasil4256|osasco|SP,2,18559,Centro de Distribuição Ideal,"Rua Brasil, 4256",Industrial,Osasco,SP,54825910
ruabrasil4316|belohorizonte|MG,2,3900,Distribuidora Sul,"Rua Brasil, 4316",Vila Nova,Belo Horizonte,MG,84914810
ruabrasil4316|belohorizonte|MG,2,5157,Mercado Popular,"Rua Brasil, 4316",Centro,Belo Horizonte,MG,98207370
ruabrasil4333|saopaulo|SP,2,7593,Farmácia Central,"Rua Brasil, 4333",Vila Nova,São Paulo,SP,68477600
ruabrasil4333|saopaulo|SP,2,15799,Clínica Norte,"Rua Brasil, 4333",Centro,São Paulo,SP,14285970
ruabrasil4352|saopaulo|SP,2,1725,Farmácia Real,"Rua Brasil, 4352",Industrial,São Paulo,SP,36117140
ruabrasil4352|saopaulo|SP,2,2170,Farmácia Sul,"Rua Brasil, 4352",Centro,São Paulo,SP,95092830
ruabrasil435|vitoria|ES,2,4788,Loja Real,"Rua Brasil, 435",Vila Nova,Vitória,ES,91417750
ruabrasil435|vitoria|ES,2,11280,Farmácia Central,"Rua Brasil, 435",Industrial,Vitória,ES,74397350
ruabrasil4432|saopaulo|SP,2,16996,Consultório Central,"Rua Brasil, 4432",Vila Nova,São Paulo,SP,10271420
ruabrasil4432|saopaulo|SP,2,18492,Consultório Sul,"Rua Brasil, 4432",Industrial,São Paulo,SP,73679690
ruabrasil4439|salvador|BA,2,1542,Clínica Central,"Rua Brasil, 4439",Vila Nova,Salvador,BA,47578360
ruabrasil4439|salvador|BA,2,7141,Consultório Norte,"Rua Brasil, 4439",Jardim,Salvador,BA,95709180
ruabrasil4572|riodejaneiro|RJ,2,4579,Consultório do Vale,"Rua Brasil, 4572",Centro,Rio de Janeiro,RJ,55491970
ruabrasil4572|riodejaneiro|RJ,2,7524,Distribuidora Real,"Rua Brasil, 4572",Industrial,Rio de Janeiro,RJ,29237900
ruabrasil4656|saopaulo|SP,2,548,Distribuidora Real,"Rua Brasil, 4656",Vila Nova,São Paulo,SP,70581300
ruabrasil4656|saopaulo|SP,2,7735,Clínica Real,"Rua Brasil, 4656",Vila Nova,São Paulo,SP,99793480
ruabrasil4701|guarulhos|SP,2,5257,Mercado Central,"Rua Brasil, 4701",Jardim,Guarulhos,SP,65297000
ruabrasil4701|guarulhos|SP,2,5401,Loja Sul,"Rua Brasil, 4701",Industrial,Guarulhos,SP,82164690
ruabrasil4716|riodejaneiro|RJ,2,7199,Clínica Real,"Rua Brasil, 4716",Jardim,Rio de Janeiro,RJ,95326280
ruabrasil4716|riodejaneiro|RJ,2,7526,Farmácia Ideal,"Rua Brasil, 4716",Jardim,Rio de Janeiro,RJ,16313800
ruabrasil4783|belohorizonte|MG,2,11597,Loja Ideal,"Rua Brasil, 4783",Centro,Belo Horizonte,MG,25199180
ruabrasil4783|belohorizonte|MG,2,17356,Clínica Popular,"Rua Brasil, 4783",Vila Nova,Belo Horizonte,MG,18945990
ruabrasil4783|saopaulo|SP,2,12072,Mercado Real,"Rua Brasil, 4783",Vila Nova,São Paulo,SP,65089580
ruabrasil4783|saopaulo|SP,2,16233,Consultório Popular,"Rua Brasil, 4783",Jardim,São Paulo,SP,99100630
ruabrasil4995|curitiba|PR,2,1223,Clínica do Vale,"Rua Brasil, 4995",Vila Nova,Curitiba,PR,94817640
ruabrasil4995|curitiba|PR,2,15103,Centro de Distribuição Popular,"Rua Brasil, 4995",Industrial,Curitiba,PR,68701150
ruabrasil560|saopaulo|SP,2,8555,Farmácia Sul,"Rua Brasil, 560",Vila Nova,São Paulo,SP,52325550
ruabrasil560|saopaulo|SP,2,14914,Distribuidora Sul,"Rua Brasil, 560",Vila Nova,São Paulo,SP,86768110
ruabrasil569|riodejaneiro|RJ,2,14571,Farmácia Central,"Rua Brasil, 569",Industrial,Rio de Janeiro,RJ,90006630
ruabrasil569|riodejaneiro|RJ,2,16505,Mercado Ideal,"Rua Brasil, 569",Industrial,Rio de Janeiro,RJ,97369580
ruabrasil613|saopaulo|SP,2,3137,Farmácia Norte,"Rua Brasil, 613",Centro,São Paulo,SP,90027760
ruabrasil613|saopaulo|SP,2,7807,Mercado Central,"Rua Brasil, 613",Vila Nova,São Paulo,SP,75725780
ruabrasil742|riodejaneiro|RJ,2,7475,Consultório Real,"Rua Brasil, 742",Jardim,Rio de Janeiro,RJ,96742710
ruabrasil742|riodejaneiro|RJ,2,11226,Atacado Ideal,"Rua Brasil, 742",Vila Nova,Rio de Janeiro,RJ,42774810
ruabrasil938|sorocaba|SP,2,3869,Farmácia Sul,"Rua Brasil, 938",Centro,Sorocaba,SP,83266460
ruabrasil938|sorocaba|SP,2,4214,Atacado Real,"Rua Brasil, 938",Centro,Sorocaba,SP,34004260
ruabrasil943|riodejaneiro|RJ,2,12919,Farmácia Popular,"Rua Brasil, 943",Vila Nova,Rio de Janeiro,RJ,50473670
ruabrasil943|riodejaneiro|RJ,2,17483,Distribuidora Real,"Rua Brasil, 943",Centro,Rio de Janeiro,RJ,54381620
ruabrasil987|curitiba|PR,2,7313,Farmácia Norte,"Rua Brasil, 987",Centro,Curitiba,PR,62828900
ruabrasil987|curitiba|PR,2,16872,Consultório do Vale,"Rua Brasil, 987",Jardim,Curitiba,PR,57062550
ruabrasil988|curitiba|PR,2,1707,Distribuidora Ideal,"Rua Brasil, 988",Jardim,Curitiba,PR,76895200
ruabrasil988|curitiba|PR,2,7194,Consultório Ideal,"Rua Brasil, 988",Vila Nova,Curitiba,PR,92116960
